product_id,vendor_id,market_date,customer_id,quantity,cost_to_customer_per_qty,transaction_time
1,7,None,14,0.99,6.99,17:32:00
null,7,03/07/2019,null,2.18,6.99,18:23:00
1,7,03/07/2019,15,1.53,6.99,18:41:00
1,7,03/07/2019,16,2.02,6.99,null
1,7,03/07/2019,22,0.66,6.99,17:34:00
1,null,06/07/2019,4,0.27,6.99,12:20:00
1,7,06/07/2019,12,null,6.99,09:33:00
1,7,06/07/2019,14,3.04,6.99,13:05:00
1,7,06/07/2019,23,1.49,null,12:26:00
1,7,06/07/2019,23,2.56,6.99,12:46:00
1,7,None,3,2.48,6.99,null
1,null,10/07/2019,4,2.13,6.99,18:06:00
1,7,10/07/2019,8,2.71,6.99,18:35:00
1,7,10/07/2019,23,null,6.99,18:56:00
1,7,13/07/2019,2,4.24,6.99,09:02:00
1,7,13/07/2019,5,0.71,6.99,13:43:00
1,7,13/07/2019,10,2.34,6.99,10:21:00
1,7,13/07/2019,10,2.28,6.99,10:29:00
1,7,13/07/2019,24,0.65,6.99,12:52:00
1,7,17/07/2019,4,3.03,6.99,18:44:00
1,7,17/07/2019,5,4.11,6.99,16:30:00
1,7,20/07/2019,1,2.09,6.99,12:48:00
1,7,20/07/2019,1,4.93,6.99,13:00:00
1,7,20/07/2019,15,0.02,6.99,12:04:00
1,7,20/07/2019,21,2,6.99,11:33:00
1,7,24/07/2019,14,0.39,6.99,17:16:00
1,7,24/07/2019,19,2.74,6.99,17:30:00
1,7,27/07/2019,13,1.15,6.99,09:08:00
null,7,27/07/2019,17,1.55,6.99,13:58:00
1,7,27/07/2019,24,3.04,6.99,09:37:00
1,7,31/07/2019,3,2.64,6.99,18:36:00
1,7,31/07/2019,8,3.83,6.99,18:34:00
1,7,31/07/2019,19,3.69,6.99,18:11:00
1,7,31/07/2019,22,1.07,6.99,18:04:00
1,7,03/08/2019,4,0.08,6.99,12:12:00
1,7,None,13,0.05,6.99,13:37:00
1,7,03/08/2019,13,2.36,6.99,13:46:00
1,7,07/08/2019,13,0.31,6.99,18:38:00
1,7,07/08/2019,24,4.65,6.99,18:30:00
1,7,10/08/2019,2,0.32,6.99,08:26:00
1,7,10/08/2019,2,1.29,6.99,09:29:00
1,7,10/08/2019,12,4.09,6.99,08:39:00
1,7,10/08/2019,23,4.57,6.99,13:20:00
1,7,10/08/2019,23,0.46,6.99,13:39:00
1,7,14/08/2019,5,2.35,6.99,17:32:00
1,7,14/08/2019,8,3.57,6.99,18:04:00
1,7,14/08/2019,11,1.5,6.99,17:06:00
1,7,14/08/2019,25,3.21,6.99,18:46:00
null,7,21/08/2019,11,1.59,6.99,18:18:00
1,7,24/08/2019,10,1.67,6.99,08:35:00
1,7,24/08/2019,15,1.19,6.99,08:47:00
1,7,24/08/2019,16,4.48,6.99,11:00:00
1,7,28/08/2019,2,1.07,6.99,18:56:00
1,7,28/08/2019,9,3.68,6.99,18:28:00
1,7,31/08/2019,5,2.4,6.99,10:00:00
